,location,Price,total_sqft,Bedrooms,Bathrooms
1636,other,150000.0,3.0,3.0,2.0
1637,"Kileleshwa, Dagoretti North",150000.0,2.0,2.0,2.0
1638,"Westlands Area, Westlands",150000.0,2.0,2.0,2.0
1639,"Kilimani, Dagoretti North",150000.0,3.0,3.0,3.0
1640,"Westlands Area, Westlands",150000.0,2.0,2.0,3.0
1641,other,150000.0,4.0,4.0,4.0
1642,"Rhapta Road, Westlands",150000.0,3.0,3.0,4.0
1643,"Westlands Area, Westlands",150000.0,4.0,4.0,4.0
1644,other,150000.0,3.0,3.0,3.0
1645,"Parklands, Westlands",150000.0,4.0,4.0,2.0
1646,"Westlands Area, Westlands",150000.0,3.0,3.0,2.0
1647,other,150000.0,23.0,3.0,3.0
1648,other,150000.0,14.0,2.0,2.0
1649,other,150000.0,3.0,3.0,2.0
1650,other,150000.0,158.0,3.0,2.0
1651,other,150000.0,3.0,3.0,3.0
1652,other,150000.0,160.0,3.0,4.0
1653,other,150000.0,2.0,2.0,2.0
1654,other,150000.0,2.0,2.0,2.0
1655,other,150000.0,3.0,3.0,2.0
1656,other,150000.0,3.0,3.0,4.0
1657,other,150000.0,3.0,3.0,2.0
1658,other,150000.0,133.0,2.0,2.0
1659,other,150000.0,4.0,4.0,3.0
1660,other,150000.0,1.0,1.0,1.0
1661,other,150000.0,3.0,3.0,3.0
1662,"Kileleshwa, Dagoretti North",150000.0,4.0,4.0,4.0
1663,"Westlands Area, Westlands",150000.0,4.0,4.0,4.0
1664,"Westlands Area, Westlands",150000.0,2601.0,3.0,4.0
1665,"Riverside, Westlands",150000.0,2.0,2.0,2.0
1666,other,150000.0,3000.0,4.0,4.0
1667,other,150000.0,3.0,3.0,2.0
1668,"Kileleshwa, Dagoretti North",150000.0,3.0,3.0,4.0
1669,"Lavington, Dagoretti North",150000.0,4.0,4.0,4.0
1670,"Rhapta Road, Westlands",150000.0,3.0,3.0,3.0
1671,other,150000.0,2.0,2.0,2.0
1672,"Kilimani, Dagoretti North",150000.0,2.0,2.0,3.0
1673,"Brookside, Westlands",150000.0,3.0,3.0,2.0
1674,"Lavington, Dagoretti North",150000.0,4.0,4.0,4.0
1675,other,150000.0,325.0,3.0,2.0
1676,other,150000.0,3.0,3.0,2.0
1677,"Lavington, Dagoretti North",150000.0,3.0,3.0,3.0
1678,"Kilimani, Dagoretti North",150000.0,2.0,2.0,2.0
1679,"Kileleshwa, Dagoretti North",150000.0,3.0,3.0,3.0
1680,"Westlands Area, Westlands",150000.0,2.0,2.0,2.0
1681,"General Mathenge, Westlands",155000.0,4.0,4.0,4.0
1682,"Parklands, Westlands",155000.0,2.0,2.0,2.0
1683,"Brookside, Westlands",155000.0,3.0,3.0,5.0
1684,other,155000.0,4.0,4.0,4.0
1685,"Brookside, Westlands",155000.0,3.0,3.0,5.0
1686,"Riverside Drive, Riverside, Westlands",155000.0,2950.0,3.0,5.0
1687,"Westlands Area, Westlands",158000.0,4.0,4.0,3.0
1688,other,160000.0,24.0,4.0,3.0
1689,other,160000.0,16.0,2.0,2.0
1690,other,160000.0,1.0,1.0,1.0
1691,"Lavington, Dagoretti North",160000.0,4.0,4.0,2.0
1692,"kilimani, Kilimani, Kilimani, Dagoretti North",160000.0,4.0,4.0,4.0
1693,"Lavington, Dagoretti North",160000.0,4.0,4.0,4.0
1694,other,160000.0,4.0,4.0,3.0
1695,other,160000.0,3.0,3.0,3.0
1696,"General Mathenge, Westlands",160000.0,280.0,3.0,3.0
1697,"Westlands Area, Westlands",160000.0,3.0,3.0,2.0
1698,"Westlands Area, Westlands",160000.0,2.0,2.0,2.0
1699,"General Mathenge, Westlands",160000.0,280.0,3.0,3.0
1700,"Westlands Area, Westlands",160000.0,3.0,3.0,2.0
1701,"Westlands Area, Westlands",160000.0,2.0,2.0,2.0
1702,other,160000.0,3.0,3.0,2.0
1703,other,160000.0,2.0,2.0,2.0
1704,other,160000.0,3.0,3.0,3.0
1705,"Westlands Area, Westlands",160000.0,3.0,3.0,2.0
1706,"General Mathenge, Westlands",160000.0,3.0,3.0,4.0
1707,"Rhapta Road, Westlands",160000.0,1.0,1.0,2.0
1708,other,160000.0,220.0,3.0,3.0
1709,other,160000.0,3.0,3.0,3.0
1710,other,160000.0,4.0,4.0,4.0
1711,other,160000.0,3.0,3.0,3.0
1712,other,160000.0,3.0,3.0,3.0
1713,other,160000.0,130.0,2.0,1.0
1714,"Riverside, Westlands",160000.0,3.0,3.0,3.0
1715,"Kileleshwa, Dagoretti North",160000.0,2.0,2.0,2.0
1716,"Brookside, Westlands",160000.0,4.0,4.0,4.0
1717,other,160000.0,3.0,3.0,2.0
1718,other,160000.0,3.0,3.0,2.0
1719,"General Mathenge, Westlands",160000.0,3.0,3.0,5.0
1720,other,160000.0,344.0,4.0,4.0
1721,"General Mathenge, Westlands",160000.0,16.0,2.0,3.0
1722,other,160000.0,23.0,3.0,3.0
1723,other,160000.0,23.0,3.0,3.0
1724,other,160000.0,2.0,2.0,2.0
1725,"Riverside, Westlands",160000.0,3.0,3.0,4.0
1726,other,160000.0,3.0,3.0,2.0
1727,other,160000.0,2.0,2.0,3.0
1728,"Westlands Area, Westlands",160000.0,2000.0,1.0,1.0
1729,other,160000.0,2.0,2.0,3.0
1730,"Westlands Area, Westlands",160000.0,2000.0,1.0,1.0
1731,"Westlands Area, Westlands",160000.0,20000.0,2.0,2.0
1732,"Riverside, Westlands",160000.0,3.0,3.0,3.0
1733,"Kileleshwa, Dagoretti North",160000.0,2.0,2.0,3.0
1734,other,160000.0,250.0,4.0,4.0
1735,other,160000.0,260.0,4.0,5.0
1736,"Lavington, Dagoretti North",160000.0,2.0,2.0,2.0
1737,"Parklands, Westlands",160000.0,3.0,3.0,4.0
1738,other,160000.0,4.0,4.0,6.0
1739,"Kilimani, Dagoretti North",160000.0,3.0,3.0,4.0
1740,other,160000.0,23.0,3.0,3.0
1741,other,160000.0,24.0,4.0,4.0
1742,other,160000.0,3.0,3.0,2.0
1743,"Riverside, Westlands",160000.0,3.0,3.0,4.0
1744,"kilimani, Kilimani, Kilimani, Dagoretti North",160000.0,3.0,3.0,3.0
1745,other,160000.0,232.0,4.0,5.0
1746,other,160000.0,4.0,4.0,4.0
1747,"Westlands Area, Westlands",160000.0,2.0,2.0,2.0
1748,other,160000.0,2.0,2.0,2.0
1749,other,160000.0,3.0,3.0,2.0
1750,"Riverside, Westlands",160000.0,3.0,3.0,4.0
1751,other,160000.0,260.0,3.0,4.0
1752,other,160000.0,4.0,4.0,4.0
1753,other,160000.0,3.0,3.0,4.0
1754,"Kilimani, Dagoretti North",160000.0,2.0,2.0,2.0
1755,other,160000.0,186.0,4.0,2.0
1756,"Westlands Area, Westlands",160000.0,2.0,2.0,2.0
1757,"Waiyaki Way, Westlands",160000.0,1.0,1.0,2.0
1758,other,160000.0,4645.0,3.0,2.0
1759,"Brookside, Westlands",160000.0,3.0,3.0,4.0
1760,other,165000.0,24.0,3.0,3.0
1761,"Rhapta Road, Westlands",165000.0,3.0,3.0,3.0
1762,other,165000.0,230.0,3.0,4.0
1763,other,165000.0,4.0,4.0,4.0
1764,"Parklands, Westlands",165000.0,4.0,4.0,2.0
1765,"General Mathenge, Westlands",165000.0,3.0,3.0,3.0
1766,other,165000.0,2800.0,3.0,4.0
1767,other,165000.0,260.0,3.0,2.0
1768,other,165000.0,260.0,3.0,4.0
1769,"Westlands Area, Westlands",165000.0,4.0,4.0,3.0
1770,"Brookside, Westlands",165000.0,4.0,4.0,3.0
1771,other,165000.0,2.0,2.0,2.0
1772,"Kilimani, Dagoretti North",165000.0,3.0,3.0,3.0
1773,"Lavington, Dagoretti North",165000.0,2.0,2.0,2.0
1774,other,165000.0,2.0,2.0,3.0
1775,other,170000.0,3.0,3.0,3.0
1776,other,170000.0,23.0,3.0,3.0
1777,other,170000.0,28.0,3.0,4.0
1778,other,170000.0,23.0,3.0,3.0
1779,other,170000.0,150.0,2.0,2.0
1780,other,170000.0,175.0,3.0,3.0
1781,other,170000.0,3.0,3.0,3.0
1782,other,170000.0,3.0,3.0,4.0
1783,"Parklands, Westlands",170000.0,3.0,3.0,3.0
1784,other,170000.0,3.0,3.0,3.0
1785,other,170000.0,3.0,3.0,3.0
1786,other,170000.0,3.0,3.0,3.0
1787,other,170000.0,250.0,4.0,5.0
1788,other,170000.0,230.0,3.0,4.0
1789,other,170000.0,12.0,2.0,2.0
1790,other,170000.0,20.0,3.0,3.0
1791,other,170000.0,186.0,3.0,3.0
1792,other,170000.0,2.0,2.0,2.0
1793,other,170000.0,18.0,2.0,3.0
1794,other,170000.0,3.0,3.0,4.0
1795,"Parklands, Westlands",170000.0,2.0,2.0,2.0
1796,"General Mathenge, Westlands",170000.0,2.0,2.0,3.0
1797,other,170000.0,1.0,1.0,2.0
1798,"Kilimani, Dagoretti North",170000.0,2.0,2.0,2.0
1799,"Kilimani, Dagoretti North",170000.0,3.0,3.0,3.0
1800,other,170000.0,4047.0,3.0,2.0
1801,other,170000.0,2.0,2.0,2.0
1802,other,170000.0,23.0,3.0,3.0
1803,"Kilimani, Dagoretti North",170000.0,300.0,5.0,6.0
1804,"Riverside, Westlands",170000.0,3.0,3.0,3.0
1805,other,170000.0,4.0,4.0,3.0
1806,"Kilimani, Dagoretti North",170000.0,1.0,1.0,1.0
1807,"Westlands Area, Westlands",170000.0,3.0,3.0,3.0
1808,other,170000.0,270.0,3.0,4.0
1809,other,170000.0,279.0,4.0,2.0
1810,"General Mathenge, Westlands",170000.0,3.0,3.0,4.0
1811,other,170000.0,3.0,3.0,2.0
1812,"Riverside, Westlands",170000.0,3.0,3.0,4.0
1813,"Kilimani, Dagoretti North",170000.0,2.0,2.0,2.0
1814,"Kilimani, Dagoretti North",172000.0,3.0,3.0,4.0
1815,"Parklands, Westlands",172000.0,4.0,4.0,4.0
1816,other,175000.0,280.0,3.0,2.0
1817,"General Mathenge, Westlands",175000.0,3.0,3.0,2.0
1818,"General Mathenge, Westlands",175000.0,3.0,3.0,4.0
1819,other,175000.0,4.0,4.0,4.0
1820,"General Mathenge, Westlands",175000.0,4.0,4.0,2.0
1821,"Kilimani, Dagoretti North",175000.0,2.0,2.0,2.0
1822,"Parklands, Westlands",175000.0,3.0,3.0,3.0
1823,"General Mathenge, Westlands",175000.0,4.0,4.0,4.0
1824,other,175000.0,4.0,4.0,5.0
1825,"General Mathenge, Westlands",175000.0,3.0,3.0,3.0
1826,other,175000.0,279.0,3.0,3.0
1827,"General Mathenge, Westlands",175000.0,3.0,3.0,3.0
1828,other,175000.0,4.0,4.0,4.0
1829,other,175000.0,4.0,4.0,4.0
1830,other,175000.0,150.0,2.0,2.0
1831,other,180000.0,2.0,2.0,2.0
1832,other,180000.0,3.0,3.0,3.0
1833,other,180000.0,3.0,3.0,2.0
1834,other,180000.0,13.0,2.0,2.0
1835,other,180000.0,4.0,4.0,4.0
1836,other,180000.0,3.0,3.0,3.0
1837,"Kilimani, Dagoretti North",180000.0,3.0,3.0,3.0
1838,other,180000.0,4.0,4.0,4.0
1839,"Westlands Area, Westlands",180000.0,1.0,1.0,2.0
1840,other,180000.0,2.0,2.0,2.0
1841,other,180000.0,3.0,3.0,3.0
1842,"Brookside, Westlands",180000.0,3.0,3.0,4.0
1843,other,180000.0,3.0,3.0,2.0
1844,other,180000.0,2.0,2.0,2.0
1845,"Kileleshwa, Dagoretti North",180000.0,4.0,4.0,5.0
1846,"Westlands Area, Westlands",180000.0,4.0,4.0,4.0
1847,"Kilimani, Dagoretti North",180000.0,2.0,2.0,2.0
